part_number,product_type,description,quantity,Wrench Size,AMP,Approx. Spot Weld Size,Arbor,Arm,Ball Center To Base Of Hex,Ball Center To Housing End,Ball Center To Stud Thread End,Ball Center To Thread End,Ball Inside Diameter,Ball Outside Diameter,Ball Stud Neck Diameter,Ball Stud Thread Length,Ball Thickness,Barb Diameter,Barb Length,Barrel Diameter,Barrel Height,Barrel Height Post-Set,Barrel Height Pre-Set,Barrel Length,Base Diameter,Between Wing,Blade Type,Blade Width,Body Diameter,Bolt Size,Bottom Head Diameter,Bottom Head Size,Bundle Capacity,Bundle Diameter,Cable Diameter,Cable Size,Cap Finish,Cap Outside Diameter,Cavity,Center Of Hole To Bottom Of Hex,Center Of Hole To Edge,Center To Center,Circuit,Clamping Diameter,Clamping Range,Class,Closed Length,Closed Radius,Code,Coil Length,Cold Resistance (mO),Color,Connection,Contacts,Contains,Cover Or Base,Cowl Nut Height,Cowl Nut Width,Decibel,Degree,Diameter,Dielectric Strength,DIN,Drill Size,Drive Size,Drive Type,End Type,Eye I.D.,Finish,Fits,Fits Hole Size,Fits Hose I.D.,Fits Hose O.D.,Fits In,Fits Screw Size,Fits Stud Size,Fits Tubing O.D.,Flame Retardant Rating,Flange Diameter,Flange OD,Flange Thickness,Flat Length,Flute Length,For Moulding,Free Inside Diameter,Frequency,Furnished,Gap,Grade,Grade/Class,Grain,Grip Range,Grit,Groove &/or Code,Groove Diameter,Groove Width,Hardness,Head Diameter,Head Height,Head Size,Head Style,Head Thickness,Head Width,Height,Hex Height,Hex Size,Holding Strength,Holds O.D.,Hole Diameter,Hole Size,Hole Size/Grommet No,Hole Sizes,Hose Size,Housing Diameter,I2t (A2s),Illuminated,Includes,Indexing,Industry Standard No,Inner Diameter,Inner Diameter-Closed,Inner Diameter-Open,Inner Thread,Insert Type,Inside Length,Inside Width,Insulation,Internal Thread,Internal Thread Length,JIS,Jaw Depth,Jaw Inside Width,Jaw Outside Width,Kit Contents,Knurl Diameter,Lbs. Load,Lbs./Inch,Leg Length,Leg Width,Length,Length Head To Hole,Length Under Head,Location,Lock Ring Outer Diameter,Locking Style,Logo,Mandrel Material,Mandrel Push-out,Material,Material Thickness,Maximum Air Pressure,Maximum Auxiliary Current,Maximum Combined Current,Maximum Hole Diameter,Maximum Primary Current,Maximum Voltage Drop (mV),Maximum Wall Thickness,Metal Clip Length,Middle Head Diameter,Middle Head Size,Mounting,Mounting Screw Size,Size Range,Nominal Size,Open Length,Outer Diameter,Open Width,Outer Thread,Overall Height,Overall Length,Overall Width,P.S.I.,Packing,Panel Range,Panel Thickness,Pin Diameter,Pin End O.D.,Pin Head Diameter,Pin Hole,Pin Overall Length,Plate Length,Plate Width,Point,Point Type,Post-Shrunk Inner Diameter,Powerstroke,Pre-Shrunk Inner Diameter,Prong,Prong Length,Proof Load,Push On Force,Rating,Repairs,Replaces,Retainer Outer Diameter,Ring I.D.,Ring O.D.,Rivet Diameter,Rivet Length,Rockwell Hardness,Rod Diameter,Rod Size,Roller Groove,Roller O.D.,Rows,RPM,S.A.E. Standard,Screw Size,Screw Type,Shaft Diameter,Shaft Length,Shank,Shank Diameter,Shank Length,Shank Size,Shape,Shear,Shoulder Diameter,Shoulder Length,Shrink Ratio,Size,Sizes Covered,Slot,Slot Size,Solid Height,Span Range,Spline Diameter,Spool Size,Spread,Stem Diameter,Stem Length,Stem Size,Step Increments,Step Thickness,Stranding,Stud Hex Width,Stud Length,Stud Size,Style,Swing,Tab Size,Tap Size,Temperature Maximum,Temperature Range,Tensile Strength,Thickness,Thread 1,Thread 1 Length,Thread 2,Thread 2 Length,Thread Diameter,Thread Length,Thread Length-External,Thread Length-Internal,Thread Pitch,Thread Size-External,Thread Size-Internal,Thread Type,Top Head Diameter,Top Head Size,Top Of Radius To Base,Trim,Type,U Width,Used For,Used With,Volt,Voltage,Washer,Washer Diameter,Washer Head Diameter,Washer Type,Wattage,Weight,Width,Width Across Bottom Legs,Width From Ear To Ear,Wing Spread,Wire Diameter,Wire Gauge,Wire Material,Wire Strands & Strand Size,Wire Width,Wires,Wrench Width,Made In
5066,Electrical Terminal,High Temp Non-Insulating Female Quick Connect,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Disconnect,,,Auveco 17490,,,,,,,,,1/4 in.,,,,,16 to 14,,,,,,Taiwan
5067,Electrical Terminal,"1/4"" Male Tab, Insulated, 16-14 Gaugeterminals",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male Disconnect,,,Auveco 5068,,,,,,,,,1/4 in.,,,,,16 to 14,,,,,,USA
5068,Electrical Terminal,"1/4"" Female, Insulated, 16-14 Gaugeterminals",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Disconnect,,,Auveco 5067,,,,,,,,,1/4 in.,,,,,16 to 14,,,,,,USA
5072,Electrical Terminal,16-10 Gauge Closed End Butt Connector,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clear,,,,,,,,,,,,,,,,,Electro Tin Plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vinyl,,,,,,,,,,,,,,,,,,,,,,Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closed End Butt,,,,,,,,,,,,,,,,,16 to 10,,,,,,Taiwan
5074,Shim,"Shim 1/64"" Thick 1-1/8"" x 1-1/8"" with 1/2"" Slot",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/8 in. x 1-1/8 in.,,,1/2 in.,,,,,,,,,,,,,,,,,,,,,,1/64 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5075,Shim,"Shim 1/32"" Thick 1-1/8"" x 1-1/8"" with 1/2"" Slot",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/8 in. x 1-1/8 in.,,,1/2 in.,,,,,,,,,,,,,,,,,,,,,,1/32 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5076,Shim,"Shim 1/16"" Thick 1-1/8"" x 1-1/8"" with 1/2"" Slot",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/8 in. x 1-1/8 in.,,,1/2 in.,,,,,,,,,,,,,,,,,,,,,,1/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5077,Shim,"Shim 1/8"" Thick 1-1/8"" x 1-1/8"" with 1/2"" Slot",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/8 in. x 1-1/8 in.,,,1/2 in.,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5096,Shim,"Shim 1/32"" Thick 1-1/2"" x 2-1/2"" with 9/16"" Slot",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 in. x 2-1/2 in.,,,9/16 in.,,,,,,,,,,,,,,,,,,,,,,1/32 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5097,Shim,"Shim 1/16"" Thick 1-1/2"" x 2-1/2"" with 9/16"" Slot",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 in. x 2-1/2 in.,,,9/16 in.,,,,,,,,,,,,,,,,,,,,,,1/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5167,Spin Lock Nut,"Spin Lock Nut with Serrations 5/16""-18 USS 13/16"" Flange O.D.",100,1/2 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Phosphate,,,,,,,,,,13/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/16 in.-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5170,J-Nut,"J Type Cage Nut 3/8""-16 Screw Size",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050 in. - 0.093 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8 in.-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5195,Tubular Nut,"Tubular Nut For 1/8"" Stud",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036 in. - 0.046 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5196,Tubular Nut,"Tubular Nut For 1/4"" Stud",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/32 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034 in. - 0.040 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5197,U-Nut,U-Nut #10-24 Screw Size,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045 in. - 0.062 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5219,Pigtail Connector,Pig Tail Connectors,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulbs-Miniature Bayonet,,,,,,,,,,,,,,,,,,1,,Taiwan
5220,Pigtail Connector,Pig Tail Connectors For Sockets Housing Single Contact Lights,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulbs-S.C. Bayonet,,,,,,,,,,,,,,,,,,1,,Taiwan
5221,Pigtail Connector,Universal Pig Tail Connectors For Double-Contact Light Bulbs,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulbs-D.C. Bayonet,,,,,,,,,,,,,,,,,,2,,Taiwan
5225,Pigtail Connector,Pig Tail Connectors For 3-Wire Sealed Beam Headlights,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4000, 4040, 4440, 4579, 4652, 4800, 4811, 6006, 6014, 6015, 6052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sealed Beam,,,,,,,,,,,,,,,,,,3,,Taiwan
5226,Pigtail Connector,"Universal Pig Tail Connectors For Signal, Park, Stop And Tail Lights 7/8"" To 1-1/8"" Hole",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/8 in. - 1-1/8 in.,,,,,,,,,"198, 1016, 1034, 1154 & 1157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulbs-D.C. Index,,,,,,,,,,,,,,,,,,2,,Taiwan
5228,Nylon Nut,Nylon Nut #10 Screw Size,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auveco 5278,,,,,,,,,,,,,,,,,,,,USA
5238,Bumper Bolt,"Bumper Bolts 3/8""-16 x 7/8""",25,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8 in.-16,,,,,,,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5239,Bumper Bolt,"Bumper Bolt, 3/8""-16 x 1""",25,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8 in.-16,,,,,,,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5242,Bumper Bolt,"Bumper Bolt 7/16""-14 x 1-1/4"" Stainless Steel Round Cap Head",25,,,,,,,,,,,,,,,,,,,,,,,,,,,7/16 in.-14,,,,,,,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5243,Bumper Bolt,"Bumper Bolt, 7/16""-14 x 1-1/2""",25,,,,,,,,,,,,,,,,,,,,,,,,,,,7/16 in.-14,,,,,,,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5246,Bumper Bolt,"Bumper Bolt 1/2""-13 x 1-1/2"" Stainless Steel Round Cap Head",25,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 in.-13,,,,,,,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
5249,Lock Washer,"Number 4 (3/32"") Shakeproof External Lock Washers",100,,,,,,,,,,,,,,,,,,,,,,,,,,,#4 (7/64 in.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5250,Lock Washer,"#6 (1/8"" ) Shakeproof External Lock Washers",100,,,,,,,,,,,,,,,,,,,,,,,,,,,#6 (9/64 in.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5251,Lock Washer,"#8 (5/32"") Shakeproof External Lock Washers",100,,,,,,,,,,,,,,,,,,,,,,,,,,,#8 (5/32 in.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5252,Lock Washer,"#10 (3/16"") Shakeproof External Lock Washers",100,,,,,,,,,,,,,,,,,,,,,,,,,,,#10 (3/16 in.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5253,Lock Washer,"#12 (7/23"") Shakeproof External Lock Washers",100,,,,,,,,,,,,,,,,,,,,,,,,,,,#12 (7/32 in.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/32 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan
5254,Lock Washer,"#14 (1/4"") Shakeproof External Lock Washers",100,,,,,,,,,,,,,,,,,,,,,,,,,,,#14 (1/4 in.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
5255,Lock Washer,"5/16"" Shakeproof External Lock Washers",100,,,,,,,,,,,,,,,,,,,,,,,,,,,5/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/32 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
